temperature_c,building_sqm,occupancy_pct,is_weekday,energy_kwh
36.1,286.0,95.8,0,472.57
56.7,92.4,166.9,1,742.14
77.9,89.5,80.3,1,743.47
42.6,427.7,100.1,1,722.59
87.0,212.6,89.5,0,978.38
51.1,476.7,87.9,0,790.31
82.4,99.4,69.1,0,906.31
60.5,382.4,190.4,1,1044.15
64.6,182.2,69.6,1,636.45
58.9,52.8,117.1,0,746.02
42.4,323.5,73.4,0,545.71
51.3,334.4,67.4,1,492.98
54.1,127.8,164.8,1,806.08
35.5,75.5,166.9,1,519.97
50.4,417.2,110.0,1,585.4
79.5,222.9,140.2,0,1071.15
74.2,420.9,188.9,1,1092.64
30.8,387.3,145.5,0,753.19
60.7,212.9,142.1,1,755.03
70.7,313.5,79.2,1,742.17
